Benchmark,Args,Min,Max,Mean,Stdev,Min (+),Max (+),Mean (+),Stdev (+)
des-encrypt,"(16,)",0.016,0.022,0.019,0.004,0.000,0.000,0.000,0.000
des-encrypt,"(4096,)",1.161,1.164,1.162,0.002,0.000,0.000,0.000,0.000
des-decrypt,"(16,)",0.017,0.021,0.019,0.003,0.000,0.000,0.000,0.000
des-decrypt,"(4096,)",1.161,1.166,1.163,0.003,0.000,0.000,0.000,0.000
desl-encrypt,"(16,)",0.016,0.020,0.018,0.003,0.000,0.000,0.000,0.000
desl-encrypt,"(4096,)",1.175,1.177,1.176,0.002,0.000,0.000,0.000,0.000
desl-decrypt,"(16,)",0.018,0.020,0.019,0.002,0.000,0.000,0.000,0.000
desl-decrypt,"(4096,)",1.123,1.131,1.127,0.006,0.000,0.000,0.000,0.000
desx-encrypt,"(16,)",0.016,0.016,0.016,0.000,0.000,0.000,0.000,0.000
desx-encrypt,"(4096,)",1.125,1.127,1.126,0.002,0.000,0.000,0.000,0.000
desx-decrypt,"(16,)",0.016,0.017,0.017,0.001,0.000,0.000,0.000,0.000
desx-decrypt,"(4096,)",1.127,1.127,1.127,0.000,0.000,0.000,0.000,0.000
desxl-encrypt,"(16,)",0.016,0.017,0.017,0.001,0.000,0.000,0.000,0.000
desxl-encrypt,"(4096,)",1.122,1.128,1.125,0.004,0.000,0.000,0.000,0.000
desxl-decrypt,"(16,)",0.015,0.016,0.016,0.001,0.000,0.000,0.000,0.000
desxl-decrypt,"(4096,)",1.129,1.138,1.134,0.006,0.000,0.000,0.000,0.000
sdes-encrypt,"(4096,)",1.054,1.065,1.060,0.008,0.000,0.000,0.000,0.000
sdes-decrypt,"(4096,)",1.080,1.086,1.083,0.004,0.000,0.000,0.000,0.000
tdes-encrypt,"(16,)",0.018,0.018,0.018,0.000,0.000,0.000,0.000,0.000
tdes-encrypt,"(4096,)",1.180,1.187,1.183,0.005,0.000,0.000,0.000,0.000
tdes-decrypt,"(16,)",0.016,0.017,0.016,0.001,0.000,0.000,0.000,0.000
tdes-decrypt,"(4096,)",1.216,1.223,1.219,0.005,0.000,0.000,0.000,0.000
pydes-encrypt,"(16,)",0.995,1.014,1.005,0.013,0.000,0.000,0.000,0.000
pydes-encrypt,"(4096,)",234.658,234.817,234.737,0.112,0.000,0.000,0.000,0.000
pydes-decrypt,"(16,)",0.994,1.001,0.997,0.005,0.000,0.000,0.000,0.000
pydes-decrypt,"(4096,)",234.354,234.599,234.477,0.174,0.000,0.000,0.000,0.000
pytdes-encrypt,"(16,)",0.992,0.999,0.995,0.005,0.000,0.000,0.000,0.000
pytdes-encrypt,"(4096,)",234.220,234.341,234.281,0.085,0.000,0.000,0.000,0.000
pytdes-decrypt,"(16,)",0.993,0.999,0.996,0.004,0.000,0.000,0.000,0.000
pytdes-decrypt,"(4096,)",234.292,234.381,234.337,0.063,0.000,0.000,0.000,0.000
